No,Team,Link
1,Arsenal,https://fantasy.premierleague.com/api/element-summary/1/
2,Aston Villa,https://fantasy.premierleague.com/api/element-summary/29/
3,Bournemouth,https://fantasy.premierleague.com/api/element-summary/57/
4,Brentford,https://fantasy.premierleague.com/api/element-summary/78/
5,Brighton,https://fantasy.premierleague.com/api/element-summary/101/
6,Chelsea,https://fantasy.premierleague.com/api/element-summary/48/
7,Crystal Palace,https://fantasy.premierleague.com/api/element-summary/152/
8,Everton,https://fantasy.premierleague.com/api/element-summary/110/
9,Fulham,https://fantasy.premierleague.com/api/element-summary/2/
10,Leicester,https://fantasy.premierleague.com/api/element-summary/248/
11,Leeds,https://fantasy.premierleague.com/api/element-summary/221/
12,Liverpool,https://fantasy.premierleague.com/api/element-summary/274/
13,Man City,https://fantasy.premierleague.com/api/element-summary/299/
14,Man Utd,https://fantasy.premierleague.com/api/element-summary/326/
15,Newcastle,https://fantasy.premierleague.com/api/element-summary/349/
16,Nott'm Forest,https://fantasy.premierleague.com/api/element-summary/295/
17,Southampton,https://fantasy.premierleague.com/api/element-summary/21/
18,Spurs,https://fantasy.premierleague.com/api/element-summary/425/
19,West Ham,https://fantasy.premierleague.com/api/element-summary/455/
20,Wolves,https://fantasy.premierleague.com/api/element-summary/476/
